Longitude (x),Latitude (y),Nom de la Station,ID climatologique,Date/Heure,Année,Mois,Jour,Qualité des Données,Temp max.(°C),Temp max. Indicateur,Temp min.(°C),Temp min. Indicateur,Temp moy.(°C),Temp moy. Indicateur,DJC (°C),DJC Indicateur,DJR (°C),DJR Indicateur,Pluie tot. (mm),Pluie tot. Indicateur,Neige tot. (cm),Neige tot. Indicateur,Précip. tot. (mm),Précip. tot. Indicateur,Neige au sol (cm),Neige au sol Indicateur,Dir. raf. max. (10s deg),Dir. raf. max. Indicateur,Vit. raf. max. (km/h),Vit. raf. max. Indicateur
-71.9,45.4,SHERBROOKE,7028120,1963-01-01,1963,1,1,,-11.1,,-17.2,,-14.2,,32.2,,0,,0,,2.5,,2.5,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1963-01-02,1963,1,2,,-6.1,,-15.6,,-10.9,,28.9,,0,,0,,0,,0,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1963-01-03,1963,1,3,,-3.9,,-7.2,,-5.6,,23.6,,0,,0,,0,T,0,T,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1963-01-04,1963,1,4,,-1.7,,-5.6,,-3.7,,21.7,,0,,0,,0,,0,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1963-01-05,1963,1,5,,-2.2,,-4.4,,-3.3,,21.3,,0,,0,,0.3,,0.3,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1963-01-06,1963,1,6,,-0.6,,-6.1,,-3.4,,21.4,,0,,0,,0,T,0,T,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1963-01-07,1963,1,7,,0.6,,-5,,-2.2,,20.2,,0,,0,,0,,0,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1963-01-08,1963,1,8,,1.7,,-3.9,,-1.1,,19.1,,0,,0,,0,,0,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1963-01-09,1963,1,9,,1.1,,-0.6,,0.3,,17.7,,0,,0,,0,T,0,T,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1963-01-10,1963,1,10,,4.4,,-0.6,,1.9,,16.1,,0,,0,,0,,0,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1963-01-11,1963,1,11,,0,,-9.4,,-4.7,,22.7,,0,,0,,1,,1,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1963-01-12,1963,1,12,,-2.8,,-9.4,,-6.1,,24.1,,0,,0,,4.3,,4.3,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1963-01-13,1963,1,13,,0,,-8.3,,-4.2,,22.2,,0,,0,,5.8,,5.8,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1963-01-14,1963,1,14,,-7.8,,-14.4,,-11.1,,29.1,,0,,0,,0.5,,0.5,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1963-01-15,1963,1,15,,-9.4,,-12.8,,-11.1,,29.1,,0,,0,,0,,0,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1963-01-16,1963,1,16,,-11.1,,-27.2,,-19.2,,37.2,,0,,0,,0.5,,0.5,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1963-01-17,1963,1,17,,-5.6,,-17.8,,-11.7,,29.7,,0,,0,,0,,0,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1963-01-18,1963,1,18,,2.2,,-15,,-6.4,,24.4,,0,,0,,0,,0,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1963-01-19,1963,1,19,,-1.7,,-5,,-3.4,,21.4,,0,,0,,4.8,,4.8,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1963-01-20,1963,1,20,,5.6,,-6.1,,-0.3,,18.3,,0,,0,,0.8,,0.8,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1963-01-21,1963,1,21,,-10.6,,-13.9,,-12.3,,30.3,,0,,0,,0,,0,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1963-01-22,1963,1,22,,-6.7,,-18.3,,-12.5,,30.5,,0,,0,,1.8,,1.8,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1963-01-23,1963,1,23,,-10,,-13.9,,-12,,30,,0,,0,,10.4,,10.4,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1963-01-24,1963,1,24,,-15,,-18.9,,-17,,35,,0,,0,,0,T,0,T,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1963-01-25,1963,1,25,,-12.8,,-16.1,,-14.5,,32.5,,0,,0,,1.3,,1.3,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1963-01-26,1963,1,26,,-7.2,,-23.3,,-15.3,,33.3,,0,,0,,9.7,,9.7,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1963-01-27,1963,1,27,,-8.3,,-14.4,,-11.4,,29.4,,0,,0,,9.4,,9.4,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1963-01-28,1963,1,28,,-13.9,,-17.8,,-15.9,,33.9,,0,,0,,0,,0,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1963-01-29,1963,1,29,,-6.7,,-19.4,,-13.1,,31.1,,0,,0,,0,,0,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1963-01-30,1963,1,30,,-3.9,,-20.6,,-12.3,,30.3,,0,,0,,0,,0,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1963-01-31,1963,1,31,,-12.2,,-22.8,,-17.5,,35.5,,0,,0,,0,,0,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1963-02-01,1963,2,1,,-7.8,,-27.8,,-17.8,,35.8,,0,,0,,0,,0,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1963-02-02,1963,2,2,,0,,-20,,-10,,28,,0,,0,,21.8,,21.8,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1963-02-03,1963,2,3,,-11.1,,-22.2,,-16.7,,34.7,,0,,0,,0,,0,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1963-02-04,1963,2,4,,-11.1,,-31.1,,-21.1,,39.1,,0,,0,,10.9,,10.9,,,,,,,
