Longitude (x),Latitude (y),Nom de la Station,ID climatologique,Date/Heure,Année,Mois,Jour,Qualité des Données,Temp max.(°C),Temp max. Indicateur,Temp min.(°C),Temp min. Indicateur,Temp moy.(°C),Temp moy. Indicateur,DJC (°C),DJC Indicateur,DJR (°C),DJR Indicateur,Pluie tot. (mm),Pluie tot. Indicateur,Neige tot. (cm),Neige tot. Indicateur,Précip. tot. (mm),Précip. tot. Indicateur,Neige au sol (cm),Neige au sol Indicateur,Dir. raf. max. (10s deg),Dir. raf. max. Indicateur,Vit. raf. max. (km/h),Vit. raf. max. Indicateur
-71.9,45.4,SHERBROOKE,7028120,1967-01-01,1967,1,1,,-0.6,,-5.6,,-3.1,,21.1,,0,,0,,3,,3,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1967-01-02,1967,1,2,,-1.7,,-2.8,,-2.3,,20.3,,0,,0,,0,T,0,T,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1967-01-03,1967,1,3,,1.1,,-6.1,,-2.5,,20.5,,0,,0,,1,,1,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1967-01-04,1967,1,4,,1.1,,-1.1,,0,,18,,0,,0,,3.8,,3.8,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1967-01-05,1967,1,5,,-0.6,,-1.7,,-1.2,,19.2,,0,,0,,1.5,,1.5,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1967-01-06,1967,1,6,,-12.2,,-17.2,,-14.7,,32.7,,0,,0,,0,,0,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1967-01-07,1967,1,7,,1.7,,-25.6,,-12,,30,,0,,0,,2.8,,2.8,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1967-01-08,1967,1,8,,2.2,,-5.6,,-1.7,,19.7,,0,,0,,0,,0,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1967-01-09,1967,1,9,,-1.1,,-7.2,,-4.2,,22.2,,0,,0,,0,,0,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1967-01-10,1967,1,10,,-2.2,,-13.9,,-8.1,,26.1,,0,,0,,0,T,0,T,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1967-01-11,1967,1,11,,-3.9,,-7.2,,-5.6,,23.6,,0,,0,,1.8,,1.8,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1967-01-12,1967,1,12,,-0.6,,-12.2,,-6.4,,24.4,,0,,0,,1.3,,1.3,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1967-01-13,1967,1,13,,2.2,,-4.4,,-1.1,,19.1,,0,,0,,0,,0,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1967-01-14,1967,1,14,,4.4,,-2.2,,1.1,,16.9,,0,,0.3,,0,,0.3,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1967-01-15,1967,1,15,,3.3,,-1.1,,1.1,,16.9,,0,,0,,0.3,,0.3,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1967-01-16,1967,1,16,,-3.9,,-13.3,,-8.6,,26.6,,0,,0,,0.5,,0.5,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1967-01-17,1967,1,17,,3.9,,-17.2,,-6.7,,24.7,,0,,0,,1.3,,1.3,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1967-01-18,1967,1,18,,-18.9,,-21.7,,-20.3,,38.3,,0,,0,,0,,0,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1967-01-19,1967,1,19,,-8.3,,-28.3,,-18.3,,36.3,,0,,0,,1.3,,1.3,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1967-01-20,1967,1,20,,-7.8,,-12.2,,-10,,28,,0,,0,,1.3,,1.3,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1967-01-21,1967,1,21,,4.4,,-10.6,,-3.1,,21.1,,0,,0,,0,,0,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1967-01-22,1967,1,22,,2.8,,-1.7,,0.6,,17.4,,0,,0,,0.8,,0.8,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1967-01-23,1967,1,23,,5.6,,-0.6,,2.5,,15.5,,0,,2,,0,T,2,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1967-01-24,1967,1,24,,4.4,,0.6,,2.5,,15.5,,0,,0,,0,,0,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1967-01-25,1967,1,25,,6.1,,-2.2,,2,,16,,0,,0,T,0,,0,T,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1967-01-26,1967,1,26,,2.2,,-1.1,,0.6,,17.4,,0,,0,,0,,0,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1967-01-27,1967,1,27,,-1.7,,-6.1,,-3.9,,21.9,,0,,0,,12.4,,12.4,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1967-01-28,1967,1,28,,-3.9,,-5.6,,-4.8,,22.8,,0,,0,,1,,1,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1967-01-29,1967,1,29,,-6.7,,-10,,-8.4,,26.4,,0,,0,,5.8,,5.8,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1967-01-30,1967,1,30,,-8.3,,-12.2,,-10.3,,28.3,,0,,0,,0,,0,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1967-01-31,1967,1,31,,-7.2,,-17.2,,-12.2,,30.2,,0,,0,,2,,2,,,,,,,
