Longitude (x),Latitude (y),Nom de la Station,ID climatologique,Date/Heure,Année,Mois,Jour,Qualité des Données,Temp max.(°C),Temp max. Indicateur,Temp min.(°C),Temp min. Indicateur,Temp moy.(°C),Temp moy. Indicateur,DJC (°C),DJC Indicateur,DJR (°C),DJR Indicateur,Pluie tot. (mm),Pluie tot. Indicateur,Neige tot. (cm),Neige tot. Indicateur,Précip. tot. (mm),Précip. tot. Indicateur,Neige au sol (cm),Neige au sol Indicateur,Dir. raf. max. (10s deg),Dir. raf. max. Indicateur,Vit. raf. max. (km/h),Vit. raf. max. Indicateur
-71.9,45.4,SHERBROOKE,7028120,1960-01-01,1960,1,1,,-6.7,,-17.8,,-12.3,,30.3,,0,,0,,0,,0,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1960-01-02,1960,1,2,,3.3,,-20.6,,-8.7,,26.7,,0,,11.9,,0,,11.9,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1960-01-03,1960,1,3,,2.8,,-2.8,,0,,18,,0,,2.8,,0,,2.8,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1960-01-04,1960,1,4,,-2.8,,-7.2,,-5,,23,,0,,0,,1.8,,1.8,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1960-01-05,1960,1,5,,-5,,-14.4,,-9.7,,27.7,,0,,0,,1,,1,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1960-01-06,1960,1,6,,-5,,-18.9,,-12,,30,,0,,0,,2.5,,2.5,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1960-01-07,1960,1,7,,-5.6,,-18.3,,-12,,30,,0,,0,,8.9,,8.9,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1960-01-08,1960,1,8,,-1.1,,-16.7,,-8.9,,26.9,,0,,0,,6.4,,6.4,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1960-01-09,1960,1,9,,-21.1,,-25.6,,-23.4,,41.4,,0,,0,,0,,0,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1960-01-10,1960,1,10,,-18.9,,-32.2,,-25.6,,43.6,,0,,0,,0,,0,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1960-01-11,1960,1,11,,-15,,-28.3,,-21.7,,39.7,,0,,0,,0,,0,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1960-01-12,1960,1,12,,-10,,-26.7,,-18.4,,36.4,,0,,0,,0,,0,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1960-01-13,1960,1,13,,-7.2,,-20,,-13.6,,31.6,,0,,0,,0,,0,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1960-01-14,1960,1,14,,-3.9,,-17.2,,-10.6,,28.6,,0,,0,,0,,0,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1960-01-15,1960,1,15,,1.1,,-12.2,,-5.6,,23.6,,0,,0,,5.3,,5.3,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1960-01-16,1960,1,16,,-9.4,,-15.6,,-12.5,,30.5,,0,,0,,2,,2,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1960-01-17,1960,1,17,,-7.2,,-13.3,,-10.3,,28.3,,0,,0,,0,,0,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1960-01-18,1960,1,18,,-3.9,,-11.1,,-7.5,,25.5,,0,,0,,5.1,,5.1,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1960-01-19,1960,1,19,,-1.7,,-8.9,,-5.3,,23.3,,0,,0,,8.4,,8.4,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1960-01-20,1960,1,20,,-4.4,,-7.2,,-5.8,,23.8,,0,,0,,5.6,,5.6,,,,,,,
