Longitude (x),Latitude (y),Nom de la Station,ID climatologique,Date/Heure,Année,Mois,Jour,Qualité des Données,Temp max.(°C),Temp max. Indicateur,Temp min.(°C),Temp min. Indicateur,Temp moy.(°C),Temp moy. Indicateur,DJC (°C),DJC Indicateur,DJR (°C),DJR Indicateur,Pluie tot. (mm),Pluie tot. Indicateur,Neige tot. (cm),Neige tot. Indicateur,Précip. tot. (mm),Précip. tot. Indicateur,Neige au sol (cm),Neige au sol Indicateur,Dir. raf. max. (10s deg),Dir. raf. max. Indicateur,Vit. raf. max. (km/h),Vit. raf. max. Indicateur
-71.9,45.4,SHERBROOKE,7028120,1958-01-01,1958,1,1,,5.6,,-1.7,,2,,16,,0,,0,,1,,1,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1958-01-02,1958,1,2,,-11.1,,-15,,-13.1,,31.1,,0,,0,,0,,0,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1958-01-03,1958,1,3,,-15,,-20,,-17.5,,35.5,,0,,0,,0,,0,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1958-01-04,1958,1,4,,-17.2,,-21.7,,-19.5,,37.5,,0,,0,,0,,0,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1958-01-05,1958,1,5,,-4.4,,-18.9,,-11.7,,29.7,,0,,0,,0,,0,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1958-01-06,1958,1,6,,1.7,,-10,,-4.2,,22.2,,0,,0,,0,T,0,T,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1958-01-07,1958,1,7,,1.7,,-1.7,,0,,18,,0,,0,,3,,3,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1958-01-08,1958,1,8,,-6.1,,-12.8,,-9.5,,27.5,,0,,0,,6.6,,6.6,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1958-01-09,1958,1,9,,-8.9,,-20,,-14.5,,32.5,,0,,0,,0,,0,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1958-01-10,1958,1,10,,-0.6,,-19.4,,-10,,28,,0,,0,,3.8,,3.8,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1958-01-11,1958,1,11,,-0.6,,-13.3,,-7,,25,,0,,0,,0,,0,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1958-01-12,1958,1,12,,-13.3,,-23.9,,-18.6,,36.6,,0,,0,,0,,0,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1958-01-13,1958,1,13,,-2.8,,-16.7,,-9.8,,27.8,,0,,0,,0,,0,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1958-01-14,1958,1,14,,-1.1,,-14.4,,-7.8,,25.8,,0,,0,,0,T,0,T,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1958-01-15,1958,1,15,,-2.2,,-3.9,,-3.1,,21.1,,0,,0,,14.5,,14.5,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1958-01-16,1958,1,16,,0.6,,-3.9,,-1.7,,19.7,,0,,0,,11.4,,11.4,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1958-01-17,1958,1,17,,-2.2,,-3.3,,-2.8,,20.8,,0,,0,,4.8,,4.8,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1958-01-18,1958,1,18,,-9.4,,-13.3,,-11.4,,29.4,,0,,0,,1,,1,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1958-01-19,1958,1,19,,-17.2,,-20.6,,-18.9,,36.9,,0,,0,,0,,0,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1958-01-20,1958,1,20,,-12.8,,-25.6,,-19.2,,37.2,,0,,0,,0,,0,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1958-01-21,1958,1,21,,0.6,,-22.8,,-11.1,,29.1,,0,,0,,5.1,,5.1,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1958-01-22,1958,1,22,,4.4,,-8.9,,-2.3,,20.3,,0,,8.4,,3.3,,11.7,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1958-01-23,1958,1,23,,-2.8,,-3.9,,-3.4,,21.4,,0,,0,,0.5,,0.5,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1958-01-24,1958,1,24,,-2.8,,-12.8,,-7.8,,25.8,,0,,0,,0,,0,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1958-01-25,1958,1,25,,3.9,,-10,,-3.1,,21.1,,0,,0,,0,,0,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1958-01-26,1958,1,26,,3.9,,1.7,,2.8,,15.2,,0,,0,,0,,0,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1958-01-27,1958,1,27,,2.2,,1.1,,1.7,,16.3,,0,,0,,1,,1,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1958-01-28,1958,1,28,,1.7,,-0.6,,0.6,,17.4,,0,,0,,0,T,0,T,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1958-01-29,1958,1,29,,1.1,,-1.1,,0,,18,,0,,0.5,,9.7,,10.2,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1958-01-30,1958,1,30,,0.6,,-1.7,,-0.6,,18.6,,0,,0,,0.3,,0.3,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1958-01-31,1958,1,31,,0,,-6.1,,-3.1,,21.1,,0,,0,,1,,1,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1958-02-01,1958,2,1,,-1.1,,-3.3,,-2.2,,20.2,,0,,0,,0,T,0,T,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1958-02-02,1958,2,2,,-2.8,,-6.1,,-4.5,,22.5,,0,,0,,0,T,0,T,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1958-02-03,1958,2,3,,-9.4,,-12.8,,-11.1,,29.1,,0,,0,,1,,1,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1958-02-04,1958,2,4,,-11.7,,-14.4,,-13.1,,31.1,,0,,0,,0,T,0,T,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1958-02-05,1958,2,5,,-8.9,,-12.8,,-10.9,,28.9,,0,,0,,0,,0,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1958-02-06,1958,2,6,,-8.9,,-14.4,,-11.7,,29.7,,0,,0,,0,,0,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1958-02-07,1958,2,7,,-4.4,,-21.7,,-13.1,,31.1,,0,,0,,11.4,,11.4,,,,,,,
