Longitude (x),Latitude (y),Nom de la Station,ID climatologique,Date/Heure,Année,Mois,Jour,Qualité des Données,Temp max.(°C),Temp max. Indicateur,Temp min.(°C),Temp min. Indicateur,Temp moy.(°C),Temp moy. Indicateur,DJC (°C),DJC Indicateur,DJR (°C),DJR Indicateur,Pluie tot. (mm),Pluie tot. Indicateur,Neige tot. (cm),Neige tot. Indicateur,Précip. tot. (mm),Précip. tot. Indicateur,Neige au sol (cm),Neige au sol Indicateur,Dir. raf. max. (10s deg),Dir. raf. max. Indicateur,Vit. raf. max. (km/h),Vit. raf. max. Indicateur
-71.9,45.4,SHERBROOKE,7028120,1964-01-01,1964,1,1,,-3.9,,-22.2,,-13.1,,31.1,,0,,0,,8.6,,8.6,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1964-01-02,1964,1,2,,0.6,,-20.6,,-10,,28,,0,,0,,4.6,,4.6,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1964-01-03,1964,1,3,,3.3,,-1.7,,0.8,,17.2,,0,,0,,1,,1,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1964-01-04,1964,1,4,,2.8,,-2.8,,0,,18,,0,,0,,0.5,,0.5,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1964-01-05,1964,1,5,,-7.8,,-12.8,,-10.3,,28.3,,0,,0,,0,,0,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1964-01-06,1964,1,6,,1.7,,-21.1,,-9.7,,27.7,,0,,0,,1.3,,1.3,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1964-01-07,1964,1,7,,1.7,,-6.1,,-2.2,,20.2,,0,,0,,0,T,0,T,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1964-01-08,1964,1,8,,-1.7,,-12.8,,-7.3,,25.3,,0,,0,,0,,0,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1964-01-09,1964,1,9,,2.2,,-13.9,,-5.9,,23.9,,0,,8.6,,0.5,,9.1,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1964-01-10,1964,1,10,,1.7,,-3.9,,-1.1,,19.1,,0,,0,,2,,2,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1964-01-11,1964,1,11,,-12.8,,-14.4,,-13.6,,31.6,,0,,0,,0,,0,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1964-01-12,1964,1,12,,-15.6,,-22.2,,-18.9,,36.9,,0,,0,,0,,0,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1964-01-13,1964,1,13,,-15.6,,-28.9,,-22.3,,40.3,,0,,0,,0,,0,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1964-01-14,1964,1,14,,-12.2,,-20.6,,-16.4,,34.4,,0,,0,,0.3,,0.3,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1964-01-15,1964,1,15,,-3.9,,-16.1,,-10,,28,,0,,0,,0,T,0,T,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1964-01-16,1964,1,16,,-2.8,,-8.9,,-5.9,,23.9,,0,,0,,2.8,,2.8,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1964-01-17,1964,1,17,,-6.1,,-11.7,,-8.9,,26.9,,0,,0,,0,,0,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1964-01-18,1964,1,18,,0.6,,-15.6,,-7.5,,25.5,,0,,0,,0,,0,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1964-01-19,1964,1,19,,3.3,,-1.7,,0.8,,17.2,,0,,0,,0,,0,,,,,,,
