Longitude (x),Latitude (y),Nom de la Station,ID climatologique,Date/Heure,Année,Mois,Jour,Qualité des Données,Temp max.(°C),Temp max. Indicateur,Temp min.(°C),Temp min. Indicateur,Temp moy.(°C),Temp moy. Indicateur,DJC (°C),DJC Indicateur,DJR (°C),DJR Indicateur,Pluie tot. (mm),Pluie tot. Indicateur,Neige tot. (cm),Neige tot. Indicateur,Précip. tot. (mm),Précip. tot. Indicateur,Neige au sol (cm),Neige au sol Indicateur,Dir. raf. max. (10s deg),Dir. raf. max. Indicateur,Vit. raf. max. (km/h),Vit. raf. max. Indicateur
-71.9,45.4,SHERBROOKE,7028120,1965-01-01,1965,1,1,,-14.4,,-16.7,,-15.6,,33.6,,0,,0,,0,,0,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1965-01-02,1965,1,2,,-12.2,,-23.3,,-17.8,,35.8,,0,,0,,0,,0,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1965-01-03,1965,1,3,,-3.3,,-15,,-9.2,,27.2,,0,,0,,0,,0,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1965-01-04,1965,1,4,,-3.9,,-12.8,,-8.4,,26.4,,0,,0,,0,,0,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1965-01-05,1965,1,5,,-1.7,,-9.4,,-5.6,,23.6,,0,,0,,3.3,,3.3,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1965-01-06,1965,1,6,,-2.8,,-8.9,,-5.9,,23.9,,0,,0,,0,T,0,T,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1965-01-07,1965,1,7,,-7.8,,-20.6,,-14.2,,32.2,,0,,0,,0,T,0,T,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1965-01-08,1965,1,8,,7.2,,-12.8,,-2.8,,20.8,,0,,14.2,,0,,14.2,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1965-01-09,1965,1,9,,6.7,,-10,,-1.7,,19.7,,0,,0,,0,,0,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1965-01-10,1965,1,10,,-8.9,,-13.9,,-11.4,,29.4,,0,,0,,0,,0,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1965-01-11,1965,1,11,,-1.1,,-12.8,,-7,,25,,0,,0,,0,,0,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1965-01-12,1965,1,12,,1.7,,-11.7,,-5,,23,,0,,0,,6.1,,6.1,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1965-01-13,1965,1,13,,-3.3,,-23.9,,-13.6,,31.6,,0,,0,,0,T,0,T,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1965-01-14,1965,1,14,,,M,,M,,M,,M,,M,0,,0,,0,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1965-01-15,1965,1,15,,-22.8,,-28.9,,-25.9,,43.9,,0,,0,,0,,0,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1965-01-16,1965,1,16,,-17.8,,-27.8,,-22.8,,40.8,,0,,0,,1.3,,1.3,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1965-01-17,1965,1,17,,-18.3,,-22.2,,-20.3,,38.3,,0,,0,,0,,0,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1965-01-18,1965,1,18,,-8.3,,-24.4,,-16.4,,34.4,,0,,0,,0,T,0,T,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1965-01-19,1965,1,19,,-4.4,,-15,,-9.7,,27.7,,0,,0,,0,L,0,L,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1965-01-20,1965,1,20,,-3.9,,-15,,-9.5,,27.5,,0,,0,,7.4,A,7.4,A,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1965-01-21,1965,1,21,,-1.1,,-15.6,,-8.4,,26.4,,0,,0,,0,,0,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1965-01-22,1965,1,22,,-1.7,,-13.3,,-7.5,,25.5,,0,,0,,0,,0,,,,,,,
