Longitude (x),Latitude (y),Nom de la Station,ID climatologique,Date/Heure,Année,Mois,Temp max.moy.(°C),Temp max. moy. Indicateur,Temp min.moy.(°C),Temp min. moy. Indicateur,Temp moy.(°C),Temp moy. Indicateur,Temp max.ext.(°C),Temp max. ext. Indicateur,Temp min.ext.(°C),Temp min. ext. Indicateur,Pluie tot. (mm),Pluie tot. Indicateur,Neige tot. (cm),Neige tot. Indicateur,Précip. tot. (mm),Précip. tot. Indicateur,Neige au sol. dernier jour (cm),Neige au sol. dernier jour Indicateur,Dir. raf. max. (10's deg),Dir. raf. max. Indicateur,Vit. raf. max. (km/h),Vit. raf. max. Indicateur
-71.9,45.4,SHERBROOKE,7028120,1923-11,1923,11,6.2,,-2.1,,2.1,,14.4,,-10,,74.7,,1.8,,76.5,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1923-12,1923,12,2.1,,-5.2,,-1.6,,12.8,,-20,,19.8,,41.4,,61.2,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1924-01,1924,1,-3.1,,-14.8,,-9,,7.2,S,-31.1,,38.1,,63,,101.1,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1924-02,1924,2,-7.8,,-18,,-12.9,,1.1,,-26.7,,0,,35.1,,35.1,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1924-03,1924,3,2.2,,-5.4,,-1.6,,8.3,S,-14.4,,9.7,,21.6,,31.2,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1924-04,1924,4,8.7,,-0.7,,4,,21.1,,-11.7,,46.5,,34.3,,80.8,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1924-05,1924,5,14.8,,5.3,,10.1,,25,,-1.1,S,63.2,,0,,63.2,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1924-06,1924,6,22.4,,9.7,,16.1,,28.9,,2.8,,47.5,,0,,47.5,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1924-07,1924,7,25.1,,13.9,,19.5,,31.1,,5.6,,121.7,,0,,121.7,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1924-08,1924,8,23.9,,12.3,,18.1,,30.6,,5.6,,99.6,,0,,99.6,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1924-09,1924,9,18.2,,7.3,,12.8,,26.1,,-1.1,,185.7,,0,,185.7,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1924-10,1924,10,12.8,,2.6,,7.7,,21.7,S,-3.9,,19.3,,1.8,,21.1,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1924-11,1924,11,5.4,,-2.1,,1.7,,21.1,,-14.4,,62,,30.5,,92.5,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1924-12,1924,12,-5.2,,-13.4,,-9.3,,8.3,S,-33.9,,19.8,,35.8,,55.6,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1925-01,1925,1,-7.7,,-19.7,,-13.7,,2.8,,-36.7,,0,,102.4,,102.4,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1925-02,1925,2,0.3,,-9.2,,-4.5,,10.6,S,-22.8,,33.5,,43.4,,77,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1925-03,1925,3,4.5,,-4.1,,0.2,,18.9,,-20,,8.6,,41.9,,50.5,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1925-04,1925,4,9.8,,0.5,,5.2,,23.9,S,-7.8,,22.6,,10.7,,33.3,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1925-05,1925,5,14.2,,4.6,,9.4,,23.9,,-1.1,,65.8,,0,T,65.8,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1925-06,1925,6,23,,12.9,,18,,31.1,,3.9,,128.3,,0,,128.3,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1925-07,1925,7,24.4,,12.9,,18.7,,29.4,,5.6,,95,,0,,95,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1925-08,1925,8,25.1,,11.8,,18.5,,31.1,,3.9,,84.3,,0,,84.3,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1925-09,1925,9,17.8,,8.2,,13,,28.9,,-0.6,,166.9,,0,,166.9,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1925-10,1925,10,6.4,,0.2,,3.3,,15.6,,-9.4,,76.7,,18,,94.7,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1925-11,1925,11,3.6,,-3.5,,0.1,,13.3,,-22.8,,60.7,,25.9,,86.6,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1925-12,1925,12,-3.4,,-10.6,,-7,,8.3,,-26.7,,10.9,,54.6,,65.5,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1926-01,1926,1,-4.6,,-14.3,,-9.5,,6.7,,-27.2,,33.5,,52.6,,86.1,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1926-02,1926,2,-6.8,,-15.3,,-11.1,,2.8,,-27.2,S,0,,42.2,,42.2,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1926-03,1926,3,-1.9,,-12,,-7,,6.7,,-26.1,,10.7,,54.4,,65,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1926-04,1926,4,5.2,,-3.2,,1,,18.3,,-11.7,,46.2,,24.4,,70.6,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1926-05,1926,5,15.4,,3.8,,9.6,,26.1,,-2.8,,26.4,,3.6,,30,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1926-06,1926,6,20.9,,9,,15,,28.3,,1.1,,72.6,,0,,72.6,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1926-07,1926,7,25.2,,12,,18.6,,30,S,6.1,,49.3,,0,,49.3,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1926-08,1926,8,23.6,,11.9,,17.8,,29.4,,4.4,,91.7,,0,,91.7,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1926-09,1926,9,18.1,,7.3,,12.7,,24.4,,1.1,S,54.6,,0,,54.6,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1926-10,1926,10,11.3,,2.9,,7.1,,28.3,,-4.4,,99.1,,6.6,,105.7,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1926-11,1926,11,5.7,,-2.7,,1.5,,20.6,,-16.1,,52.1,,21.3,,73.4,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1926-12,1926,12,-5.2,,-12.9,,-9.1,,5,,-23.9,,1,,68.1,,69.1,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1927-01,1927,1,-4.5,,-13.3,,-8.9,,7.2,,-27.8,,11.4,,49.3,,60.7,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1927-02,1927,2,-2.5,,-13,,-7.8,,6.7,,-29.4,,0.3,,78.5,,78.7,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1927-03,1927,3,4.7,,-4.9,,-0.1,,16.1,,-16.7,,24.1,,8.9,,33,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1927-04,1927,4,11.8,,-0.8,,5.5,,28.3,,-10,,16.3,,9.4,,25.7,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1927-05,1927,5,15.4,,5.3,,10.4,,22.8,,-2.2,,82.6,,0,T,82.6,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1927-06,1927,6,21.8,,8.7,,15.3,,29.4,S,2.2,,67.8,,0,,67.8,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1927-07,1927,7,25.7,,13.9,,19.8,,30.6,,5,,65.5,,0,,65.5,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1927-08,1927,8,22.8,,11.4,,17.1,,27.8,,4.4,,104.4,,0,,104.4,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1927-09,1927,9,19.9,,8.8,,14.4,,27.2,,2.2,,43.4,,0,,43.4,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1927-10,1927,10,13.2,,4.7,,9,,27.2,,-3.3,,93.2,,0,,93.2,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1927-11,1927,11,7.9,,-0.6,,3.7,,21.7,,-9.4,,206.8,,13.7,,220.5,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1927-12,1927,12,-0.6,,-8.9,,-4.8,,9.4,,-21.1,,49.3,,58.2,,107.4,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1928-01,1928,1,-2.7,,-13.3,,-8,,6.1,,-28.3,,9.4,,79,,88.4,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1928-02,1928,2,-3.4,,-14.5,,-9,,7.2,,-26.1,,9.9,,37.1,,47,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1928-03,1928,3,0.9,,-8.6,,-3.9,,16.7,,-22.8,,11.2,,58.9,,70.1,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1928-04,1928,4,8.2,,-1.4,,3.4,,23.3,,-11.7,,37.3,,30,,67.3,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1928-05,1928,5,17.2,,6.4,,11.8,,25,,-1.7,,86.1,,1,,87.1,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1928-06,1928,6,21.9,,11.2,,16.6,,29.4,,6.7,S,82.3,,0,,82.3,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1928-07,1928,7,26.2,,14.7,,20.5,,32.8,,8.9,S,73.2,,0,,73.2,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1928-08,1928,8,25.9,,15.1,,20.5,,32.2,,7.2,,96,,0,,96,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1928-09,1928,9,17.4,,6.9,,12.2,,26.7,,-1.7,,106.2,,0,,106.2,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1928-10,1928,10,13,,2.4,,7.7,,26.1,,-11.7,,117.1,,0.8,,117.9,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1928-11,1928,11,4.8,,-4,,0.4,,15,,-12.8,,56.9,,13.7,,70.6,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1928-12,1928,12,1.2,,-7.7,,-3.3,,9.4,,-15,,18.5,,30,,48.5,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1929-01,1929,1,-4.7,,-16,,-10.4,,11.1,,-28.9,,17.3,,71.4,,88.6,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1929-02,1929,2,-3.9,,-13.8,,-8.9,,7.2,,-25.6,,0,,40.1,,40.1,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1929-03,1929,3,3.3,,-5.7,,-1.2,,12.8,,-28.9,,51.1,,29,,80,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1929-04,1929,4,10,,0,,5,,19.4,,-9.4,,51.8,,26.7,,78.5,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1929-05,1929,5,18.3,,6,,12.2,,31.1,S,-1.7,,68.8,,0,,68.8,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1929-06,1929,6,24.3,,12.5,,18.4,,32.8,,3.9,,109.2,,0,,109.2,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1929-07,1929,7,,M,13.1,,,M,,M,5,,51.3,,0,,51.3,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1929-08,1929,8,21.9,,11.6,,16.8,,27.8,,6.1,,126.7,,0,,126.7,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1929-09,1929,9,19.7,,9.6,,14.7,,28.9,,-2.2,,38.1,,0,,38.1,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1929-10,1929,10,11.2,,2.5,,6.9,,22.2,S,-3.3,,56.1,,9.7,,65.8,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1929-11,1929,11,5.3,,-2.2,,1.6,,17.2,S,-15,,35.3,,12.2,,47.5,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1929-12,1929,12,-3.7,,-12.7,,-8.2,,3.3,,-31.7,,7.9,,122.4,,130.3,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1930-01,1930,1,-3.2,,-13.9,,-8.6,,10.6,S,-28.3,,23.4,,64.8,,88.1,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1930-02,1930,2,-3.1,,-14.7,,-8.9,,11.7,,-31.1,,10.4,,26.9,,37.3,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1930-03,1930,3,0.6,,-7.6,,-3.5,,7.8,,-19.4,,37.1,,47,,84.1,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1930-04,1930,4,8.4,,-2.2,,3.1,,20,,-8.3,,3.6,,14.2,,17.8,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1930-05,1930,5,17.6,,6.7,,12.2,,28.9,,0,,79.2,,0,T,79.2,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1930-06,1930,6,24.8,,15.1,,20,,32.8,,4.4,,65,,0,,65,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1930-07,1930,7,23.6,,13.9,,18.8,,30.6,,7.8,,72.1,,0,,72.1,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1930-08,1930,8,21.9,,12.8,,17.4,,27.2,,7.2,,62.2,,0,,62.2,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1930-09,1930,9,20.1,,10.3,,15.2,,27.2,,2.8,,61.7,,0,,61.7,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1930-10,1930,10,12.8,,2.6,,7.7,,25.6,,-3.9,,31.2,,1.3,,32.5,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1930-11,1930,11,6.3,,-0.4,,3,,13.9,,-15,,54.1,,10.4,,64.5,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1930-12,1930,12,-1.9,,-8.9,,-5.4,,3.9,,-23.9,,5.8,,38.6,,44.5,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1931-01,1931,1,-6.3,,-15.4,,-10.9,,2.8,S,-29.4,,0,T,70.9,,70.9,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1931-02,1931,2,-3.5,,-13.4,,-8.5,,3.3,S,-29.4,,4.8,,41.4,,46.2,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1931-03,1931,3,3.8,,-4.4,,-0.3,,11.7,,-18.9,,8.9,,39.1,,48,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1931-04,1931,4,12.3,,0.9,,6.6,,27.2,,-5.6,,38.9,,5.8,,44.7,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1931-05,1931,5,18.8,,7.3,,13.1,,31.7,,-1.7,S,75.9,,0,,75.9,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1931-06,1931,6,23.3,,11.3,,17.3,,32.2,,4.4,,68.8,,0,,68.8,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1931-07,1931,7,27.7,,16.4,,22.1,,36.7,S,10.6,,108,,0,,108,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1931-08,1931,8,24.6,,12.7,,18.7,,34.4,,4.4,,32.5,,0,,32.5,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1931-09,1931,9,19.8,,9.7,,14.8,,30.6,,0,S,87.1,,0,,87.1,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1931-10,1931,10,13.8,,4.2,,9,,25.6,,-2.8,S,42.7,,0,,42.7,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1931-11,1931,11,8.4,,0.3,,4.4,,20,S,-10,,38.1,,12.2,,50.3,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1931-12,1931,12,-1.3,,-9.6,,-5.5,,7.2,,-20,,33.5,,40.1,,73.7,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1932-01,1932,1,1.7,,-7.8,,-3.1,,12.8,,-19.4,,51.6,,41.9,,93.5,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1932-02,1932,2,-3.9,,-13.3,,-8.6,,8.3,,-23.3,,8.4,,46.2,,54.6,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1932-03,1932,3,-1.6,,-10.2,,-5.9,,9.4,,-18.3,,18.5,,82.8,,101.3,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1932-04,1932,4,8.1,,-1.8,,3.2,,22.2,,-11.7,,40.9,,25.7,,66.5,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1932-05,1932,5,18.7,,5.2,,12,,32.2,,-3.3,,50,,0,,50,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1932-06,1932,6,23.1,,10.4,,16.8,,29.4,,2.8,,76.7,,0,,76.7,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1932-07,1932,7,23.8,,12.9,,18.4,,30.6,,5.6,,134.1,,0,,134.1,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1932-08,1932,8,25.4,,13.9,,19.7,,31.7,,7.2,S,95.5,,0,,95.5,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1932-09,1932,9,20.1,,9.2,,14.7,,31.7,,0,,87.1,,0,,87.1,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1932-10,1932,10,13.4,,3.8,,8.6,,24.4,,-5,S,94.5,,0,T,94.5,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1932-11,1932,11,2.7,,-5.8,,-1.6,,11.7,,-18.9,,99.8,,16.8,,116.6,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1932-12,1932,12,0.4,,-8.2,,-3.9,,13.9,,-28.9,,31.5,,31.2,,62.7,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1933-01,1933,1,1.1,,-8.6,,-3.8,,8.3,,-20.6,S,24.6,,33.8,,58.4,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1933-02,1933,2,-2,,-10.7,,-6.4,,4.4,S,-23.9,,8.1,,87.1,,95.3,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1933-03,1933,3,0.3,,-9.1,,-4.4,,7.8,,-21.1,,17,,77.5,,94.5,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1933-04,1933,4,9.3,,1.1,,5.2,,25.6,,-6.7,,87.4,,35.6,,122.9,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1933-05,1933,5,18.9,,6.4,,12.7,,27.2,S,-2.2,S,109.5,,0,,109.5,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1933-06,1933,6,24.7,,12.4,,18.6,,35,,1.1,,46.5,,0,,46.5,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1933-07,1933,7,24.9,,13.1,,19,,30,,6.7,,127.3,,0,,127.3,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1933-08,1933,8,23.9,,13.2,,18.6,,31.1,,6.7,,126.2,,0,,126.2,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1933-09,1933,9,19.3,,9.3,,14.3,,27.8,,1.1,,38.9,,0,,38.9,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1933-10,1933,10,11.4,,2.9,,7.2,,22.2,,-7.8,,56.4,,21.3,,77.7,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1933-11,1933,11,1.3,,-8.2,,-3.5,,17.8,,-19.4,,20.3,,54.9,,75.2,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1933-12,1933,12,-6.4,,-15.6,,-11,,3.3,S,-39.4,,15.7,,94.5,,110.2,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1934-01,1934,1,-5.7,,-15.9,,-10.8,,6.7,,-32.2,,13.7,,51.3,,65,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1934-02,1934,2,-10.7,,-22.1,,-16.4,,1.7,,-35,,0,,45.7,,45.7,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1934-03,1934,3,-0.2,,-9.5,,-4.9,,9.4,,-21.1,,48.8,,20.1,,68.8,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1934-04,1934,4,10.2,,0.7,,5.5,,23.3,,-8.3,,49.8,,2.3,,52.1,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1934-05,1934,5,20.1,,6.3,,13.2,,28.3,S,-1.1,S,34.3,,0,,34.3,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1934-06,1934,6,24.1,,12.1,,18.1,,32.8,,1.1,,89.4,,0,,89.4,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1934-07,1934,7,26.7,,14.4,,20.6,,31.1,,9.4,S,79.8,,0,,79.8,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1934-08,1934,8,22.9,,11.1,,17,,31.1,,2.8,,52.3,,0,,52.3,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1934-09,1934,9,22.1,,12.3,,17.2,,28.9,,5,,100.8,,0,,100.8,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1934-10,1934,10,10.2,,1.3,,5.8,,21.7,,-3.9,,32.5,,10.7,,43.2,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1934-11,1934,11,6.2,,-0.4,,2.9,,20,,-9.4,S,104.4,,13,,117.3,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1934-12,1934,12,-5.1,,-14.1,,-9.6,,17.2,,-26.7,,25.9,,38.4,,64.3,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1935-01,1935,1,-7.8,,-17.9,,-12.9,,9.4,,-33.9,,60.5,,54.6,,115.1,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1935-02,1935,2,-4.8,,-16,,-10.4,,3.3,,-30,,14.2,,55.1,,69.3,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1935-03,1935,3,1.1,,-9,,-4,,13.9,,-25.6,,25.1,,28.4,,53.6,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1935-04,1935,4,9,,0.1,,4.6,,25,,-8.9,,63.5,,18.8,,82.3,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1935-05,1935,5,14.2,,3.7,,9,,26.7,,-2.2,,71.1,,6.1,,77.2,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1935-06,1935,6,22.5,,12.4,,17.5,,28.3,,6.1,,147.1,,0,,147.1,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1935-07,1935,7,27.1,,15.3,,21.2,,31.7,,8.3,S,55.9,,0,,55.9,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1935-08,1935,8,25.2,,13.2,,19.2,,33.3,,4.4,,34.8,,0,,34.8,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1935-09,1935,9,17.2,,7,,12.1,,27.8,,-1.1,,107.7,,0,,107.7,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1935-10,1935,10,13.7,,2.4,,8.1,,23.3,,-4.4,S,64.5,,0,,64.5,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1935-11,1935,11,5.9,,-1.4,,2.3,,19.4,,-14.4,,102.6,,15.7,,118.4,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1935-12,1935,12,-6.9,,-13.1,,-10,,2.2,S,-27.8,,11.4,,29.7,,41.1,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1936-01,1936,1,-6.9,,-15.7,,-11.3,,4.4,,-31.7,,20.8,,118.4,,139.2,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1936-02,1936,2,-6.8,,-18.1,,-12.5,,3.3,S,-30,,0.5,,76.2,,76.7,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1936-03,1936,3,5.7,,-4,,0.9,,18.3,,-28.9,,73.2,,19.3,,92.5,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1936-04,1936,4,7.8,,-0.1,,3.9,,21.7,,-5.6,S,84.8,,35.6,,120.4,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1936-05,1936,5,18,,7.4,,12.7,,29.4,,-3.9,,109.5,,0,T,109.5,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1936-06,1936,6,23.6,,11,,17.3,,30.6,,3.9,,66,,0,,66,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1936-07,1936,7,24.1,,13,,18.6,,30.6,,7.2,S,101.9,,0,,101.9,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1936-08,1936,8,22.3,,11.8,,17.1,,30,,5,,86.6,,0,,86.6,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1936-09,1936,9,19.4,,8.9,,14.2,,30,,-1.7,S,130.8,,0,,130.8,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1936-10,1936,10,12.3,,2.2,,7.3,,25.6,,-8.3,S,145.3,,1,,146.3,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1936-11,1936,11,1.7,,-6.6,,-2.5,,20,,-17.2,S,34,,37.3,,71.4,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1936-12,1936,12,0.1,,-11.6,,-5.8,,10,,-26.1,,42.7,,36.1,,78.7,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1937-01,1937,1,0.9,,-9.3,,-4.2,,12.2,,-22.2,,89.4,,27.9,,117.3,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1937-02,1937,2,-1.4,,-10.8,,-6.1,,8.9,,-20.6,,12.2,,62.5,,74.7,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1937-03,1937,3,-2.3,,-12,,-7.2,,5,,-25,,12.7,,43.7,,56.4,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1937-04,1937,4,9.6,,-0.4,,4.6,,21.7,,-10.6,,48,,15.2,,63.2,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1937-05,1937,5,18.8,,7.1,,13,,30.6,,0,,106.2,,0,,106.2,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1937-06,1937,6,23.1,,12.1,,17.6,,28.9,,6.1,,108.2,,0,,108.2,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1937-07,1937,7,25.8,,15.4,,20.6,,31.7,,10.6,S,163.1,,0,,163.1,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1937-08,1937,8,26.8,,15.6,,21.2,,31.7,,6.7,,63.2,,0,,63.2,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1937-09,1937,9,19.6,,8.7,,14.2,,32.2,,0.6,,73.7,,0,,73.7,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1937-10,1937,10,12.1,,2.7,,7.4,,26.1,,-5.6,,140.7,,0,T,140.7,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1937-11,1937,11,4.8,,-1.6,,1.6,,15,,-9.4,,55.1,,5.1,,60.2,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1937-12,1937,12,-3.2,,-11.6,,-7.4,,4.4,,-24.4,,22.6,,42.2,,64.8,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1938-01,1938,1,-5.1,,-16,,-10.6,,11.7,,-31.7,,40.9,,53.6,,94.5,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1938-02,1938,2,-3.4,,-13.2,,-8.3,,3.3,,-25,,28.4,,52.8,,81.3,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1938-03,1938,3,1.5,,-9.2,,-3.9,,16.7,,-35,,13,,49.5,,62.5,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1938-04,1938,4,11.2,,1.1,,6.2,,26.1,,-13.9,,66.3,,11.4,,77.7,,,,,,,
-71.9,45.4,SHERBROOKE,7028120,1938-05,1938,5,16.8,,5.6,,11.2,,23.3,S,-0.6,S,66.3,,0,,66.3,,,,,,,
